measure,condition,N,mean_change,sd_change,cohen_d_paired,wilcoxon_p
SAM_valence,baseline,10,+1.2000,0.7888,,
SAM_valence,kimusic,10,+1.5000,1.3540,+0.2007,0.4688
SAM_arousal,baseline,10,+0.2000,2.0976,,
SAM_arousal,kimusic,10,+0.9000,3.2128,+0.2967,0.5312
PANAS_PA,baseline,10,+5.2000,4.7329,,
PANAS_PA,kimusic,10,+4.2000,7.3151,-0.0970,0.8047
PANAS_NA,baseline,10,-2.1000,2.5582,,
PANAS_NA,kimusic,10,-3.3000,4.4485,-0.3025,0.4336
SUS_score,combined,10,75.0000,14.1912,,
TX_mean,combined,10,5.5000,0.9590,,
